Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity
500003,,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Oil Marketing & Distribution,Equity
500004,,TPAEC,TORRENT POWER AEC LTD.,Delisted,B ,10.00,INE424A01014, ,Equity
500005,,AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,XD,10.00,INE984C01013,Iron & Steel Products,Equity
500006,,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,B ,10.00,INE256B01026, ,Equity
500008,,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Auto Parts & Equipment,Equity
500009,,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.00,INE432A01017,Pharmaceuticals,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Housing Finance ,Equity
500011,,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
500012,,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X ,10.00,INE714B01016,Commodity Chemicals,Equity
500013,,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity
500014,,UTIQUE,Utique Enterprises Ltd,Active,X ,10.00,INE096A01010,Finance (including NBFCs),Equity
500015,,ICICIDM,ICICI LTD.,Delisted,B ,10.00,INE005A01011, ,Equity
500016,,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10.00,INE957C01019,Hotels,Equity
500018,,ARPOLDM,ARPOLDM,Delisted,B ,10.00,INE035A01018, ,Equity
500019,,BOR,BANK OF RAJASTHAN LTD.,Delisted,B ,10.00,INE320A01014,Banks,Equity
500020,,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.00,INE032A01023,Textiles,Equity
500021,,ASINCOF,ASINCOF,Delisted,Z ,10.00,NA          , ,Equity
500023,,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Hotels,Equity
500024,,ASSAMCO,Assam Company (India) Limited,Delisted,T ,1.00,INE442A01024,Tea & Coffee,Equity
500025,,ASSAMBR,ASSAMBROOK LTD.-$,Delisted,X ,10.00,INE353C01011,Tea & Coffee,Equity
500026,,ATSHIND,ATASH INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
500027,,ATUL,ATUL LTD.,Active,A ,10.00,INE100A01010,Specialty Chemicals,Equity
500028,,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Construction & Engineering,Equity
500029,,AUTOLITIND,AUTOLITE (INDIA) LTD.,Suspended,Z ,10.00,INE448A01013,Auto Parts & Equipment,Equity
500030,,AUTORIDFIN,AUTORIDERS FINANCE LTD.,Delisted,Z ,10.00,INE450A01019,Finance (including NBFCs),Equity
500031,,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.00,INE193E01025,Household Appliances,Equity
500032,,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.00,INE306A01021,Sugar,Equity
500033,,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Cars & Utility Vehicles,Equity
500034,,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Finance (including NBFCs),Equity
500035,,BALAJIDI,BALAJI DISTILLERIES LTD.,Delisted,T ,10.00,INE453A01013,Breweries & Distilleries,Equity
500036,,BALAJIIND,BALAJI INDUSTRIAL CORPORATION LTD.,Delisted,X ,10.00,INE455A01018,Iron & Steel Products,Equity
500037,,BALMERL-B,BALMER LAWRIE FREIGHT CONTAINERS LTD.,Delisted,P ,10.00, ,Iron & Steel Products,Equity
500038,,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity
500039,,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Parts & Equipment,Equity
500040,,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Paper & Paper Products,Equity
500041,,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.00,INE459A01010,Sugar,Equity
500042,,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Specialty Chemicals,Equity
500043,,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Footwear,Equity
500044,,RAYBAN,RAYBAN SUN OPTICS INDIA LTD.,Delisted,B ,10.00,INE854A01012, ,Equity
500045,,BELLARYS,BELLARY STEELS & ALLOYS LTD.,Delisted,XT,1.00,INE166C01025,Iron & Steel/Interm.Products,Equity
500046,,BECREL,BEST & CROMPTON ENGG.LTD.,Delisted,Z ,10.00,INE287A01015,Industrial Machinery,Equity
500047,,BETANAP,BETA NAPHTHOL LTD.,Delisted,Z ,10.00,NA          , ,Equity
500048,,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Commercial Vehicles,Equity
500049,,BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Defence,Equity
500050,,BHARATRA,BHARAT RASAYAN LTD.,Delisted,T ,10.00,INE838B01013, ,Equity
500051,,BHAGGAS,Bhagawati Gas Limited,Delisted,Z ,10.00,INE099C01010,Industrial Gases,Equity
500052,,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Specialty Chemicals,Equity
500053,,BHAZINC,BHARAT ZINC LTD.,Delisted,Z ,10.00,NA          , ,Equity
500054,,BHRTITE-B,BHRTITE-B,Delisted,Z ,10.00,NA          , ,Equity
500055,,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2.00,INE824B01021,Iron & Steel/Interm.Products,Equity
500056,,UTIMRDM,MASTERGROWTH-93,Delisted,B ,10.00,INF189A01046, ,Equity
500057,,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,Delisted,B ,10.00,INE605B01016,Commodity Chemicals,Equity
500058,,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Iron & Steel/Interm.Products,Equity
500059,,BINANIIND,BINANI INDUSTRIES LTD.,Suspended,Z ,10.00,INE071A01013,Holding Companies,Equity
500060,,BIRLACABLE,Birla Cable Ltd,Active,B ,10.00,INE800A01015,Other Elect.Equip./ Prod.,Equity
500061,,ANVALDM,ANDHRA VALLEY POWER SUPPLY COMPANY LTD.,Delisted,B ,10.00,INE247A01019, ,Equity
500062,,ASHOKLEYFIN,ASHOK LEYLAND FINANCE LTD.,Delisted,B ,10.00,INE251A01011, ,Equity
500063,,OSWALCHEM,OSWAL CHEMICALS & FERTILIZERS LTD.,Delisted,B ,10.00,INE143A01010, ,Equity
500064,,BGFL,BIRLA GLOBAL FINANCE LTD.,Delisted,B ,10.00,INE097A01018, ,Equity
500067,,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Electronics,Equity
500068,,DISAQ,DISA INDIA LTD.,Active,X ,10.00,INE131C01011,Industrial Machinery,Equity
500069,,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,X ,10.00,INE418C01012,Other Financial Services,Equity
500070,,BOP,BANK OF PUNJAB LTD.,Delisted,B ,10.00,INE458A01012, ,Equity
500072,,BONGAIREFN,BONGAIGAON REFINERY & PETROCHEMICALS LTD.,Delisted,B ,10.00,INE241A01012, ,Equity
500073,,BPLENG,BPL ENGINEERING LTD.,Delisted,B ,10.00,INE108A01013, ,Equity
500074,,BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity
500075,,NAGARFER,NAGARJUNA FERTILIZERS & CHEMICALS LTD.,Delisted,B ,10.00,INE580A01013,Fertilizers,Equity
500076,,BURROWEL,BURROUGHS WELLCOME (INDIA) LTD.,Delisted,B ,10.00,INE157A01010, ,Equity
500077,,CCI,CABLE CORPORATION OF INDIA LTD.,Delisted,B ,10.00,INE475A01016,Other Elect.Equip./ Prod.,Equity
500078,,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Specialty Chemicals,Equity
500079,,CARIR,CARRIER AIRCON LTD.,Delisted,B ,10.00,INE480A01016, ,Equity
500080,,CAUVERSOFT,CAUVERY SOFTWARE ENGINEERING SYSTEMS LTD.,Delisted,B ,10.00,INE466B01013,IT Software Products,Equity
500081,,CELEINT,CELESTE INTERNATIONAL LTD.,Delisted,Z ,10.00,NA          , ,Equity
500082,,CENCHDM,CENTAK CHEMICALS LTD.,Delisted,B ,10.00,INE942A01015, ,Equity
500083,,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Aluminium,Equity
500084,,CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity
500085,,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Fertilizers,Equity
500086,,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts & Equipment,Equity
500087,,CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity
500089,,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Specialty Chemicals,Equity
500090,,MADUCOA,MADURA COATS LTD.,Delisted,B ,10.00,INE122A01014, ,Equity
500091,,COREPARENT,CORE HEALTHCARE LTD.,Delisted,B ,10.00,INE494A01017,Pharmaceuticals,Equity
500092,,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity
500093,,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.00,INE067A01029,Heavy Electrical Equipment,Equity
500094,,CTCOTTON,CT COTTON YARN LTD.,Delisted,XD,10.00,INE107D01019,Textiles,Equity
500095,,WYETH,WYETH LTD.,Delisted,B ,10.00,INE378A01012,Pharmaceuticals,Equity
500096,,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity
500097,,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity
500098,,SKYLNEPC,SKYLINE NEPC LTD.,Delisted,B ,10.00,INE575B01011, ,Equity
500099,,CENTINPO,CENTRAL INDIA POLYESTERS LTD.,Delisted,B ,10.00,INE496A01020, ,Equity
500100,,DAEWOO,DAEWOO MOTORS (INDIA) LTD.,Delisted,XD,10.00,INE497A01010,Cars & Utility Vehicles,Equity
